items,k,exact_agreement,mean_diff,mean_abs_diff
223770+223940+223946+230037,4,1.1745498537685431e-05,28.61073068746403,28.612140147288553
223769+223940+223945+229770,4,1.1745498537685431e-05,28.609791047581016,28.612281093271005
223769+223938+223946+230037,4,1.1745498537685431e-05,28.61229283876954,28.61250425774322
223770+223940+223946,3,1.1745498537685431e-05,28.611153525411385,28.612562985235908
223769+223938+223946,3,1.1745498537685431e-05,28.6127156767169,28.612927095690576
220046+223944+223946+229770,4,1.1745498537685431e-05,28.61330295164378,28.61330295164378
220047+223939+223946+228194,4,1.1745498537685431e-05,28.609051081173142,28.61330295164378
220047+223939+223946+230037,4,1.1745498537685431e-05,28.613749280588216,28.613749280588216
220047+223939+223946,3,1.1745498537685431e-05,28.61417211853557,28.61417211853557
220047+223944+223946+228194,4,1.1745498537685431e-05,28.610484031994737,28.61473590246538
220047+223944+223946+230037,4,1.1745498537685431e-05,28.61518223140981,28.61518223140981
220046+223939+223946+228194,4,1.1745498537685431e-05,28.610942106437708,28.61519397690835
220047+223944+223946,3,1.1745498537685431e-05,28.61560506935717,28.61560506935717
223769+223940+223945+228194,4,1.1745498537685431e-05,28.608863153196538,28.615628560354246
220046+223939+223946+230037,4,1.1745498537685431e-05,28.615640305852782,28.615640305852782
220047+223941+223946+229770,4,1.1745498537685431e-05,28.61403117255312,28.615816488330847
223769+223940+223945+230037,4,1.1745498537685431e-05,28.61356135261161,28.6160513983016
220046+223939+223946,3,1.1745498537685431e-05,28.61606314380014,28.61606314380014
220047+223940+228194+229770,4,1.1745498537685431e-05,28.61215189278709,28.616380272260656
223769+223940+223945,3,1.1745498537685431e-05,28.61398419055897,28.61647423624896
220046+223944+223946+228194,4,1.1745498537685431e-05,28.612375057259307,28.616626927729946
220047+223940+229770+230037,4,1.1745498537685431e-05,28.616850092202164,28.616850092202164
220046+223944+223946+230037,4,1.1745498537685431e-05,28.61707325667438,28.61707325667438
223770+223939+223945+229770,4,1.1745498537685431e-05,28.61696754718754,28.617085002172917
220047+223940+229770,3,1.1745498537685431e-05,28.61727293014952,28.61727293014952
220046+223944+223946,3,1.1745498537685431e-05,28.617496094621735,28.617496094621735
220046+223941+223946+229770,4,1.1745498537685431e-05,28.615922197817685,28.617707513595416
220046+223940+228194+229770,4,1.1745498537685431e-05,28.614042918051656,28.618271297525222
223769+223940+223944+229770,4,1.1745498537685431e-05,28.618283043023762,28.618400498009137
223770+223944+223945+229770,4,1.1745498537685431e-05,28.618400498009137,28.618517952994516
220046+223940+229770+230037,4,1.1745498537685431e-05,28.61874111746673,28.61874111746673
220047+223941+223946+228194,4,1.1745498537685431e-05,28.61310327816864,28.61914046441701
220046+223940+229770,3,1.1745498537685431e-05,28.619163955414088,28.619163955414088
220047+223941+223946+230037,4,1.1745498537685431e-05,28.617801477583715,28.619586793361446
220047+223941+223946,3,1.1745498537685431e-05,28.618224315531073,28.6200096313088
220047+223940+228194+230037,4,1.1745498537685431e-05,28.615922197817685,28.620150577291252
223770+223939+223945+228194,4,1.1745498537685431e-05,28.616039652803064,28.620408978259082
220047+223940+228194,3,1.1745498537685431e-05,28.616345035765043,28.62057341523861
223770+223939+223945+230037,4,1.1745498537685431e-05,28.620737852218138,28.620855307203513
220046+223941+223946+228194,4,1.1745498537685431e-05,28.61499430343321,28.62103148968158
220047+223940+230037,3,1.1745498537685431e-05,28.621043235180117,28.621043235180117
223770+223939+223945,3,1.1745498537685431e-05,28.621160690165492,28.62127814515087
220047+223940,2,1.1745498537685431e-05,28.621466073127475,28.621466073127475
220046+223941+223946+230037,4,1.1745498537685431e-05,28.619692502848284,28.621477818626012
223769+223940+223944+228194,4,1.1745498537685431e-05,28.617355148639284,28.62174796509238
223770+223944+223945+228194,4,1.1745498537685431e-05,28.617472603624662,28.62184192908068
220046+223941+223946,3,1.1745498537685431e-05,28.62011534079564,28.62190065657337
220046+223940+228194+230037,4,1.1745498537685431e-05,28.617813223082255,28.62204160255582
223769+223940+223944+230037,4,1.1745498537685431e-05,28.622053348054358,28.622170803039737
223770+223938+228194+229770,4,1.1745498537685431e-05,28.61787195057494,28.622217785033886
223770+223944+223945+230037,4,1.1745498537685431e-05,28.622170803039737,28.62228825802511
220046+223940+228194,3,1.1745498537685431e-05,28.61823606102961,28.622464440503176
223769+223940+223941+229770,4,1.1745498537685431e-05,28.620902289197666,28.62249967699879
223769+223940+223944,3,1.1745498537685431e-05,28.622476186001716,28.62259364098709
223770+223944+223945,3,1.1745498537685431e-05,28.62259364098709,28.62271109597247
223770+223938+229770+230037,4,1.1745498537685431e-05,28.622570149990015,28.62271109597247
220046+223940+230037,3,1.1745498537685431e-05,28.622934260444683,28.622934260444683
223770+223938+229770,3,1.1745498537685431e-05,28.622992987937373,28.623133933919824
220046+223940,2,1.1745498537685431e-05,28.62335709839204,28.62335709839204
223769+223940+223941+228194,4,1.1745498537685431e-05,28.619974394813188,28.62584714408203
223770+223939+223944+229770,4,1.1745498537685431e-05,28.62545954263029,28.625858889580567
223770+223938+228194+230037,4,1.1745498537685431e-05,28.62164225560554,28.62598809006448
223769+223940+223941+230037,4,1.1745498537685431e-05,28.62467259422826,28.626269982029388
223770+223938+228194,3,1.1745498537685431e-05,28.622065093552894,28.62641092801184
223769+223940+223941,3,1.1745498537685431e-05,28.62509543217562,28.626692819976743
223770+223938+230037,3,1.1745498537685431e-05,28.62676329296797,28.626904238950424
223770+223938,2,1.1745498537685431e-05,28.627186130915327,28.627327076897778
223769+223940+223946+229770,4,1.1745498537685431e-05,28.626692819976743,28.628102279801265
223770+223945+223946+229770,4,1.1745498537685431e-05,28.62681027496212,28.62817275279249
223770+223939+223941+229770,4,1.1745498537685431e-05,28.628078788804192,28.62838417176617
223770+223939+223944+228194,4,1.1745498537685431e-05,28.62453164824581,28.629182865666735
223770+223939+223944+230037,4,1.1745498537685431e-05,28.629229847660884,28.629629194611166
223770+223941+223944+229770,4,1.1745498537685431e-05,28.629511739625787,28.629817122587767
223770+223939+223944,3,1.1745498537685431e-05,28.629652685608242,28.63005203255852
223769+223940+223946+228194,4,1.1745498537685431e-05,28.625764925592268,28.631449746884506
223770+223945+223946+228194,4,1.1745498537685431e-05,28.625882380577643,28.631496728878655
223770+223939+223941+228194,4,1.1745498537685431e-05,28.627150894419714,28.631708147852336
223769+223940+223946+230037,4,1.1745498537685431e-05,28.630463125007342,28.631872584831864
223770+223945+223946+230037,4,1.1745498537685431e-05,28.630580579992717,28.63194305782309
223770+223939+223941+230037,4,1.1745498537685431e-05,28.631849093834788,28.632154476796767
223769+223940+223946,3,1.1745498537685431e-05,28.630885962954697,28.63229542277922
223770+223945+223946,3,1.1745498537685431e-05,28.631003417940075,28.632365895770445
223770+223939+223941,3,1.1745498537685431e-05,28.632271931782146,28.632577314744125
223770+223941+223944+228194,4,1.1745498537685431e-05,28.628583845241312,28.633141098673935
223770+223941+223944+230037,4,1.1745498537685431e-05,28.633282044656386,28.633587427618366
223770+223939+223946+229770,4,1.1745498537685431e-05,28.63386931958327,28.633986774568648
223770+223941+223944,3,1.1745498537685431e-05,28.63370488260374,28.63401026556572
223770+223944+223946+229770,4,1.1745498537685431e-05,28.635302270404868,28.635419725390243
220047+223945+228194+229770,4,1.1745498537685431e-05,28.63200178531578,28.63620667379227
220047+223945+229770+230037,4,1.1745498537685431e-05,28.636699984730853,28.636699984730853
223769+223939+223945+229770,4,1.1745498537685431e-05,28.636699984730853,28.63681743971623
220047+223945+229770,3,1.1745498537685431e-05,28.637122822678208,28.637122822678208
223770+223939+223946+228194,4,1.1745498537685431e-05,28.632941425198794,28.637310750654812
223770+223939+223946+230037,4,1.1745498537685431e-05,28.63763962461387,28.637757079599243
220046+223945+228194+229770,4,1.1745498537685431e-05,28.633892810580345,28.638097699056836
223770+223939+223946,3,1.1745498537685431e-05,28.638062462561223,28.6381799175466
223769+223944+223945+229770,4,1.1745498537685431e-05,28.63813293555245,28.638250390537827
220046+223945+229770+230037,4,1.1745498537685431e-05,28.63859100999542,28.63859100999542
223770+223944+223946+228194,4,1.1745498537685431e-05,28.63437437602039,28.638743701476407
220046+223945+229770,3,1.1745498537685431e-05,28.639013847942778,28.639013847942778
223770+223944+223946+230037,4,1.1745498537685431e-05,28.639072575435463,28.639190030420842
